epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.2935,1.21152,1.60204,0.83111,0.18769,0.24095,0.20332,0.12999,nan,nan,nan,0.000405983,0.000405983,0.000405983
2,137.636,1.17895,0.72616,0.814,0.15111,0.52736,0.16256,0.08296,nan,nan,nan,0.000814505,0.000814505,0.000814505
3,193.487,1.23415,0.73662,0.8218,0.62836,0.58092,0.58303,0.3441,1.0655,0.76523,0.81511,0.00121478,0.00121478,0.00121478
4,258.642,1.15303,0.69133,0.81389,0.60908,0.45417,0.49411,0.25576,1.32895,0.815,0.84531,0.00121287,0.00121287,0.00121287
5,317.4,1.15204,0.63068,0.8102,0.77802,0.54799,0.64303,0.37283,1.10277,0.67426,0.81843,0.0012005,0.0012005,0.0012005
6,380.558,1.17283,0.60002,0.812,0.75836,0.5854,0.66167,0.38752,1.12719,0.62031,0.82441,0.00118812,0.00118812,0.00118812
7,444.524,1.1152,0.56866,0.81013,0.7668,0.5476,0.6398,0.38624,0.99964,0.55872,0.81539,0.00117575,0.00117575,0.00117575
8,506.235,1.09176,0.55497,0.80758,0.77257,0.66464,0.71205,0.4473,0.94063,0.50755,0.80818,0.00116337,0.00116337,0.00116337
9,570.853,1.06204,0.54002,0.8035,0.8356,0.63643,0.67542,0.36832,1.26567,0.57743,0.82321,0.001151,0.001151,0.001151
10,631.319,1.18551,0.59637,0.80961,0.87392,0.65299,0.71696,0.46274,0.95742,0.49909,0.80552,0.00113863,0.00113863,0.00113863
11,698.758,1.00191,0.52334,0.80184,0.76576,0.60191,0.66767,0.42336,1.0469,0.52387,0.81046,0.00112625,0.00112625,0.00112625
12,764.162,1.01341,0.5078,0.80046,0.92499,0.62879,0.74887,0.48089,0.93334,0.49091,0.80582,0.00111388,0.00111388,0.00111388
13,831.572,0.99789,0.49447,0.79627,0.80391,0.72482,0.75018,0.47952,0.94651,0.50112,0.80229,0.0011015,0.0011015,0.0011015
14,890.402,0.93836,0.47185,0.79601,0.85691,0.66576,0.75105,0.51917,0.88328,0.46023,0.80068,0.00108913,0.00108913,0.00108913
15,953.847,0.97827,0.48631,0.79535,0.81266,0.6693,0.72986,0.46113,1.0401,0.46721,0.81326,0.00107675,0.00107675,0.00107675
16,1010.36,1.02719,0.53247,0.79864,0.8518,0.65861,0.7395,0.5018,0.89232,0.46646,0.80249,0.00106437,0.00106437,0.00106437
17,1071.6,0.97766,0.51712,0.79631,0.88125,0.69955,0.75965,0.49813,0.89264,0.48103,0.80024,0.001052,0.001052,0.001052
18,1127.97,0.97885,0.48946,0.79508,0.8837,0.69996,0.75635,0.53266,0.84701,0.42525,0.79871,0.00103962,0.00103962,0.00103962
19,1198.04,0.90968,0.45894,0.79096,0.84562,0.65929,0.76553,0.50004,0.88235,0.45725,0.79916,0.00102725,0.00102725,0.00102725
20,1260.32,0.92881,0.45637,0.7931,0.86561,0.72599,0.78581,0.51546,0.92209,0.45384,0.80035,0.00101488,0.00101488,0.00101488
21,1327.04,0.92034,0.44706,0.79399,0.83831,0.72754,0.77426,0.51904,0.85053,0.4307,0.79903,0.0010025,0.0010025,0.0010025
22,1392.61,0.89697,0.43188,0.79444,0.83918,0.7123,0.77244,0.5176,0.86357,0.4199,0.79919,0.000990125,0.000990125,0.000990125
23,1457.34,0.91184,0.44328,0.79253,0.75241,0.70905,0.73058,0.47024,0.97641,0.48001,0.80898,0.00097775,0.00097775,0.00097775
24,1512.69,0.92354,0.44993,0.79257,0.76848,0.63914,0.71814,0.48168,0.92106,0.49269,0.80368,0.000965375,0.000965375,0.000965375
25,1583.96,0.93502,0.44469,0.79293,0.86898,0.70617,0.75364,0.49763,0.87054,0.4453,0.8014,0.000953,0.000953,0.000953
26,1644.42,0.91918,0.44168,0.79064,0.88919,0.71982,0.80766,0.53975,0.83224,0.41492,0.79621,0.000940625,0.000940625,0.000940625
27,1733.62,0.87761,0.43131,0.79,0.87883,0.73941,0.77695,0.54066,0.84168,0.42034,0.79714,0.00092825,0.00092825,0.00092825
